lbl,nD
1,1.52003
1,1.52
1,1.52016
1,1.52001
1,1.52003
2,1.52006
2,1.52001
2,1.52006
2,1.52004
2,1.52003
3,1.52008
3,1.52008
3,1.51992
3,1.52009
3,1.52007
4,1.52004
4,1.51998
4,1.52007
4,1.52008
4,1.51998
5,1.51996
5,1.5201
5,1.52003
5,1.5201
5,1.52
6,1.51999
6,1.52
6,1.51992
6,1.51999
6,1.52
7,1.51992
7,1.51994
7,1.51993
7,1.52
7,1.51991
8,1.52015
8,1.52003
8,1.52003
8,1.52006
8,1.51998
8,1.51995
8,1.52001
8,1.52
8,1.51999
8,1.51999
9,1.52002
9,1.52006
9,1.51991
9,1.51989
9,1.52005
10,1.52003
10,1.52001
10,1.52004
10,1.52
10,1.52001
11,1.52008
11,1.52011
11,1.52008
11,1.52008
11,1.52008
12,1.51943
12,1.51915
12,1.51936
12,1.51935
12,1.5192
12,1.51939
12,1.51919
12,1.51938
12,1.51943
12,1.5195
12,1.51937
12,1.51936
12,1.51942
12,1.51938
12,1.51942
12,1.51943
12,1.51942
12,1.5193
13,1.51933
13,1.51938
13,1.51937
13,1.51939
13,1.51923
13,1.51925
13,1.51933
13,1.51939
13,1.51922
13,1.51926
13,1.51938
13,1.51934
13,1.51939
13,1.51922
13,1.51928
13,1.51934
13,1.51919
13,1.51931
14,1.51926
14,1.5193
14,1.51938
14,1.51931
14,1.51929
14,1.51936
14,1.51934
14,1.51922
14,1.51922
14,1.51931
15,1.51959
15,1.51947
15,1.5196
15,1.51965
15,1.51956
15,1.51964
15,1.5196
15,1.51955
15,1.51969
15,1.51968
15,1.51966
15,1.51968
15,1.51957
15,1.51962
15,1.51959
15,1.51941
15,1.51942
15,1.51962
16,1.51954
16,1.5195
16,1.51954
16,1.51956
16,1.5196
16,1.51955
16,1.51953
16,1.51956
16,1.51956
16,1.5195
17,1.51964
17,1.5196
17,1.51957
17,1.51957
17,1.51959
17,1.51954
17,1.51952
17,1.51954
17,1.51952
17,1.5196
18,1.51958
18,1.51954
18,1.51953
18,1.51954
18,1.51953
18,1.51956
18,1.51953
18,1.51951
18,1.51954
18,1.51953
19,1.51952
19,1.51953
19,1.51947
19,1.51958
19,1.51958
19,1.51957
19,1.5195
19,1.51952
19,1.5195
19,1.5195
20,1.51958
20,1.51958
20,1.5196
20,1.51961
20,1.51953
20,1.51963
20,1.51958
20,1.51956
20,1.51956
20,1.51954
20,1.51945
20,1.51956
20,1.51951
20,1.51949
20,1.51951
20,1.51956
20,1.51947
20,1.51945
20,1.51949
20,1.51951
21,1.51218
21,1.52402
21,1.51214
21,1.51223
21,1.5126
