UserName,Ser.num.11,Ser.num.22,Ser.num.33,Ser.num.44
Lennard,20.4375,28.6875,18.5,20.1875
Lennard,20.4375,28.6875,18.75,20.25
Lennard,20.4375,28.6875,18.75,20.25
Lennard,20.4375,28.6875,18.75,20.25
Sheldon,20.4375,28.6875,18.5,20.25
Sheldon,20.4375,28.6875,18.6875,20.25
Sheldon,20.375,28.6875,18.75,20.25
Sheldon,20.4375,28.6875,18.75,20.1875
Penny,20.4375,28.6875,18.6875,20.1875
Penny,20.4375,28.6875,18.75,20.25
Penny,20.4375,28.6875,18.75,20.25
Penny,20.4375,28.6875,18.75,20.1875
Howard,20.4375,28.5625,18.6875,20.25
Howard,20.5,28.6875,18.75,20.25
Howard,20.4375,28.6875,18.75,20.25
Howard,20.4375,28.6875,18.75,20.25
Raj,20.4375,28.6875,18.6875,20.1875
Raj,20.4375,28.6875,18.75,20.25
Raj,20.4375,28.6875,18.75,20.25
Raj,20.375,28.6875,18.75,20.25
