Subject,AverageAbsoluteVelocity,AbsoluteSize
1,4.1895,0.4316
1,4.9776,0.4664
1,4.1616,0.3687
1,4.0471,0.3782
1,5.3245,0.4755
1,4.5907,0.4553
1,4.2614,0.4185
1,4.4204,0.4139
1,5.0444,0.4727
1,4.0029,0.3518
2,0.5248,0.0548
2,0.7917,0.2951
2,0.9347,0.1026
2,0.8568,0.1005
2,0.9103,0.2491
2,1.1564,0.1287
2,0.6562,0.0496
2,0.818,0.2299
2,0.8296,0.256
2,0.7008,0.0538
3,10.126,1.1546
3,9.1256,0.9929
3,0.8918,0.0493
3,10.9365,1.1364
3,10.7389,1.1193
3,8.1079,0.4573
3,1.6709,0.1432
3,1.7357,0.1447
3,10.5593,1.1525
3,11.3104,1.2897
4,2.6932,0.3668
4,14.1427,1.3906
4,4.0311,0.3634
4,5.113,0.334
4,4.4295,0.4662
4,4.9376,0.4453
4,5.5724,0.6421
4,13.3507,1.2412
4,5.5229,0.6781
4,12.2262,1.4036
5,7.8215,0.9756
5,11.6501,1.2148
5,10.7749,1.176
5,13.6138,1.3478
5,13.3366,1.3861
5,14.09,1.4755
5,10.8049,1.1239
5,13.125,1.3675
5,12.8226,1.3279
5,9.9016,1.0843
6,9.041,0.8281
6,4.3903,0.1947
6,16.1594,1.493
6,19.1177,1.7444
6,5.6878,0.2546
6,18.9853,1.67
6,7.6605,0.4731
6,18.4084,1.5845
6,6.1843,0.3353
6,19.9854,1.676
7,10.677,1.0364
7,10.6674,1.0719
7,8.7611,0.7745
7,10.1671,0.8326
7,19.6678,2.6355
7,7.7723,0.6831
7,8.4405,0.7693
7,9.2697,0.7638
7,11.8582,0.9604
7,7.4636,0.699
8,4.4861,0.5056
8,5.9327,0.6186
8,4.3097,0.4945
8,5.6897,0.5514
8,4.9866,0.4424
8,5.6547,0.5627
8,6.1833,0.5773
8,5.7324,0.5074
8,8.5562,0.7564
8,8.4245,0.6983
9,6.4035,1.1281
9,7.9502,1.4003
9,6.9961,0.9749
9,8.3896,1.1161
9,8.6861,1.3038
9,9.3075,1.3646
9,8.1177,1.3774
9,8.3248,1.2312
9,6.9201,1.2242
9,7.1374,0.5959
10,9.5478,1.5708
10,12.0857,1.9447
10,2.7238,0.1183
10,2.9944,0.2072
10,2.2572,0.1519
10,4.1769,0.2276
10,2.1582,0.1612
10,2.1862,0.117
10,2.6432,0.1497
10,9.289,2.0429
11,2.7219,0.3772
11,4.1305,0.6073
11,3.6771,0.492
11,3.2924,0.4362
11,4.1059,0.6023
11,2.705,0.3247
11,4.1475,0.547
11,4.2113,0.5803
11,3.9193,0.5635
11,2.859,0.3916
12,2.3666,0.2426
12,2.0558,0.2519
12,3.2155,0.3925
12,3.665,0.3381
12,3.2969,0.3252
12,2.953,0.2912
12,3.9841,0.3157
12,4.3556,0.3821
12,4.3809,0.2709
12,3.3059,0.2616
13,5.4183,0.5112
13,6.3457,0.5444
13,4.7704,0.4674
13,4.6142,0.4185
13,5.7568,0.4628
13,5.3217,0.4749
13,4.9365,0.4593
13,4.1724,0.4033
13,5.8447,0.4778
13,5.5197,0.5189
14,7.6645,1.4655
14,11.9941,1.5793
14,13.7841,1.8355
14,12.4864,1.7271
14,17.6349,2.3216
14,20.0135,2.0532
14,16.0192,2.0527
14,12.2473,1.5756
14,16.0034,2.118
14,16.2252,2.008
15,7.1639,0.8094
15,13.3143,1.2964
15,12.157,1.2559
15,12.1538,1.1649
15,2.277,0.1402
15,11.2492,1.0937
15,13.7078,1.4846
15,8.5491,0.8437
15,9.3251,0.9101
15,10.3191,0.9599
16,16.1382,1.1653
16,17.1475,1.0488
16,22.722,1.3932
16,17.3849,1.089
16,20.8139,1.3654
16,19.4625,1.3271
16,21.6753,1.4831
16,17.4704,0.9649
16,19.971,1.2913
16,18.9706,1.2808
17,3.2037,0.2937
17,6.5208,0.4075
17,6.9221,0.5741
17,4.855,0.3307
17,4.9976,0.4104
17,6.0871,0.4131
17,4.2664,0.293
17,5.3556,0.4454
17,0.6979,0.0388
17,5.3278,0.4535
18,4.9744,0.4434
18,5.7066,0.5133
18,5.0987,0.539
18,5.5314,0.562
18,5.0137,0.5015
18,4.2924,0.4099
18,4.9035,0.4564
18,5.3374,0.5185
18,5.4731,0.4622
18,4.9004,0.4683
19,10.1278,1.3646
19,13.5656,1.7582
19,16.2499,1.8643
19,15.6656,1.952
19,17.781,2.2119
19,17.416,2.2553
19,16.6084,1.9899
19,15.5921,1.9385
19,16.693,1.9765
19,20.3544,2.4315
20,10.5098,1.5213
20,11.8978,1.659
20,12.9337,1.7324
20,12.6948,1.759
20,14.3485,1.8616
20,12.9788,1.8062
20,13.6543,1.8319
20,12.0652,1.686
20,13.7624,1.7824
20,13.6149,1.8949
21,1.5156,0.4084
21,2.6515,0.4072
21,3.2272,0.4501
21,2.5127,0.3859
21,0.8899,0.0459
21,0.7239,0.0413
21,0.669,0.0462
21,0.8003,0.0573
21,2.4563,0.3532
21,0.7634,0.0516
22,6.1233,0.4035
22,6.312,0.4801
22,4.3721,0.3702
22,5.7516,0.4147
22,6.3693,0.4556
22,6.3269,0.4798
22,5.1889,0.364
22,7.0404,0.4941
22,4.1135,0.2569
22,4.7987,0.3511
23,14.6387,1.2871
23,16.2126,1.7974
23,19.0653,2.0267
23,18.0197,1.851
23,17.3265,2.0295
23,11.3029,1.0432
23,12.4041,1.0306
23,19.2558,1.8553
23,26.2714,2.4769
23,17.9296,1.6578
24,7.1972,0.8364
24,8.5591,0.8281
24,8.146,0.799
24,8.3583,0.8688
24,8.3733,0.9087
24,8.4684,0.8391
24,8.2,0.812
24,7.9636,0.7799
24,8.3881,0.8235
24,6.3506,0.6309
25,5.8073,0.7288
25,6.2853,0.6874
25,10.3303,1.0003
25,8.7963,0.8961
25,9.9463,0.9271
25,9.8307,1.0978
25,9.135,1.0572
25,8.1484,0.8748
25,8.2973,0.8188
25,11.8136,1.2388
26,8.8591,0.7731
26,8.005,0.7427
26,0.6982,0.0657
26,8.1697,0.6742
26,1.4681,0.1053
26,1.4379,0.076
26,0.7894,0.0612
26,1.2266,0.1115
26,1.4368,0.1178
26,9.0571,0.7022
27,3.7577,0.5481
27,4.1673,0.5838
27,3.9209,0.5113
27,4.1567,0.434
27,4.6073,0.5548
27,6.0045,0.6558
27,3.465,0.4312
27,4.9035,0.6556
27,2.6477,0.3307
27,4.407,0.5302
28,14.8427,1.3294
28,18.1864,1.4475
28,13.7725,1.0993
28,2.7376,0.084
28,18.6577,1.7627
28,18.5801,1.66
28,17.7115,1.9259
28,2.8445,0.0947
28,3.3918,0.1913
28,4.1177,0.1913
29,2.2671,0.0926
29,16.5443,1.9719
29,17.242,2.2248
29,12.9835,2.3256
29,18.8736,2.6214
29,2.4641,0.071
29,17.7764,2.5453
29,21.0813,2.7254
29,18.094,2.6968
29,17.6673,2.3795
30,6.455,0.7017
30,6.8554,0.8207
30,6.5359,0.778
30,7.2008,0.8573
30,7.0571,0.8101
30,6.6937,0.8025
30,4.2513,0.7399
30,5.8199,0.7201
30,7.0866,0.952
30,5.9877,0.6874
31,7.378,0.7325
31,7.3679,0.631
31,4.7511,0.3783
31,11.661,1.1215
31,9.4058,0.8112
31,2.3335,0.1938
31,9.5582,0.9749
31,7.8525,0.7466
31,9.9157,0.8986
31,9.484,0.8465
32,8.154,1.0652
32,12.0903,1.2846
32,16.2623,1.3492
32,10.7648,1.2157
32,11.1682,1.1709
32,13.5209,1.3658
32,13.0826,1.2684
32,13.1606,1.2656
32,11.5729,1.2388
32,16.2255,1.3353
33,2.7692,0.1914
33,1.6334,0.1612
33,1.5999,0.1297
33,0.722,0.1033
33,5.8562,0.7981
33,2.0147,0.158
33,8.2988,0.7272
33,8.6541,0.8983
33,1.2699,0.0718
33,11.7467,1.2091
34,11.5628,1.5513
34,17.1147,1.9392
34,17.2131,2.0275
34,14.0781,1.747
34,16.0817,1.8283
34,14.6108,1.7328
34,16.7972,1.9994
34,13.002,1.5443
34,14.0487,1.6059
34,15.3215,1.8055
35,6.4519,0.4876
35,6.9368,0.4465
35,5.7647,0.299
35,6.6655,0.4834
35,7.1279,0.2734
35,7.6384,0.4291
35,7.2317,0.5922
35,8.1747,0.3288
35,9.7659,0.5458
35,7.7422,0.5068
36,7.1248,0.9246
36,8.3336,0.9534
36,7.5047,0.6041
36,9.3918,0.8116
36,10.8494,0.9013
36,9.0849,0.708
36,10.3167,0.7725
36,8.0636,0.8594
36,9.2483,0.7113
36,9.2265,0.8126
37,3.3717,0.4837
37,6.207,0.7383
37,5.3303,0.6326
37,6.0171,0.6661
37,5.6426,0.6861
37,5.8204,0.6003
37,6.8411,0.7422
37,6.526,0.7009
37,6.1339,0.6599
37,5.9976,0.6744
38,9.2966,0.7761
38,12.1421,0.8255
38,11.8153,0.7002
38,10.0214,0.5998
38,12.8728,0.7538
38,6.7523,0.4019
38,13.5053,0.7819
38,13.601,0.7327
38,12.6927,0.7775
38,13.0033,0.7311
39,1.609,0.0923
39,18.0621,3.3922
39,2.2651,0.0699
39,2.6924,0.1623
39,21.9333,3.7521
39,3.2636,0.1159
39,21.1063,3.9629
39,20.2189,3.7137
39,25.3603,4.4866
39,5.1492,0.2864
40,7.3387,0.9591
40,5.6275,1.0137
40,1.03,0.0529
40,0.4464,0.046
40,9.4863,1.1987
40,8.4633,1.0627
40,8.9849,1.0664
40,8.7217,1.0841
40,7.6828,1.0314
40,10.1553,1.1864
41,8.578,1.3256
41,12.2105,1.5931
41,10.1158,1.5822
41,12.4189,1.8435
41,8.6127,1.2758
41,11.5074,1.5469
41,13.0218,1.7555
41,13.1208,1.8381
41,12.5968,1.7675
41,13.2382,1.8857
42,13.2635,1.5955
42,14.8484,1.9273
42,14.7273,1.7013
42,4.0542,0.879
42,17.655,2.1001
42,16.9918,2.0146
42,16.6191,2.0329
42,17.6267,2.1975
42,16.8148,2.028
42,16.8179,1.9691
43,4.8,0.7126
43,7.3503,0.8375
43,5.7002,0.728
43,7.6397,0.8317
43,4.9041,0.6685
43,5.7434,0.7032
43,5.279,0.6745
43,6.1376,0.7567
43,5.5506,0.6003
43,5.7453,0.7381
44,9.7922,1.0655
44,11.7255,1.2185
44,12.9367,1.1542
44,1.0627,0.0548
44,10.7011,1.0105
44,18.2899,1.7265
44,28.8504,2.55
44,13.9695,1.4656
44,14.8605,1.2511
44,13.1115,1.3768
45,17.2792,1.178
45,16.9051,1.1259
45,18.9899,1.0064
45,21.2701,1.2759
45,24.5978,1.4426
45,21.8967,1.4488
45,19.5829,1.2627
45,20.9806,1.4107
45,19.7922,1.3562
45,18.7123,1.2827
46,5.2897,0.4018
46,5.6416,0.4285
46,6.1298,0.4374
46,8.1057,0.6177
46,19.2017,1.0956
46,5.4323,0.4581
46,5.2695,0.4739
46,4.4101,0.3966
46,18.2529,0.9249
46,8.6326,0.8382
47,17.632,1.5058
47,18.6875,1.6388
47,18.1623,1.5416
47,14.8655,1.0961
47,15.0404,1.1465
47,15.7023,0.9771
47,18.7648,1.258
47,18.6135,1.1934
47,21.8908,1.7033
47,18.4207,1.304
48,12.0768,0.8858
48,8.7473,1.5229
48,15.1735,1.7531
48,3.8048,0.6261
48,11.8774,1.8244
48,11.1262,1.3977
48,11.1828,1.3429
48,17.8431,1.8386
48,8.0564,0.9593
48,5.8482,0.2488
49,2.5123,0.1824
49,3.4208,0.265
49,3.6153,0.2439
49,5.0361,0.3852
49,4.4117,0.3512
49,6.2011,0.3587
49,3.1226,0.1596
49,4.5175,0.2513
49,4.4804,0.164
49,3.6093,0.1853
50,9.3062,1.0156
50,8.1883,1.0619
50,10.7798,1.2318
50,9.7428,1.1631
50,9.2541,1.1022
50,10.6919,1.1708
50,9.6396,1.1005
50,9.4903,1.1743
50,8.5425,1.18
50,10.7883,1.496
51,4.3604,0.3547
51,10.219,0.9017
51,13.3183,1.2592
51,10.8188,0.9648
51,5.4974,0.4756
51,4.3016,0.3312
51,10.2164,0.9122
51,5.073,0.3477
51,10.4226,0.8285
51,5.1216,0.369
52,1.6314,0.2324
52,2.1048,0.1858
52,4.2184,0.4865
52,3.5359,0.3383
52,2.0979,0.2072
52,3.1438,0.4073
52,4.0628,0.4122
52,1.8834,0.3764
52,1.1286,0.0645
